Headline,Content,Date
थाने पर पोस्टिंग कराने का वीडियो वायरल,थाने पोस्टिंग ऑडियो वायरल हड़कंपवाराणसी कार्यालय संवाददातासोशल मीडिया शुक्रवार रात वायरल मिनट ऑडियो क्लिप पुलिस महकमे हड़कंप मचा लोगों बातचीत सिपाही एसआई थाना दिलाने बात बातचीत खुद पैरवीकार पुलिस लाइन तैनात दुबे सिपाही चोलापुर थाना दिलाने एसएसपी बंगले मिलकर पैरवी बात कथित पैरवीकार दूसरा व्यक्ति दुबे चोलापुर थाने तैनाती दिलाने बात कह कथित पैरवीकार सुबह बजे फोन कप्तान समय शाम सात बजे बंगले दौरान एसएसपी पीआरओ मिले जिनसे उक्त बात बताई बातचीत क्रम दुबे पोस्टिंग रुपये मांग हालांकि दूसरा व्यक्ति रुपये काम इस्तेमाल बात कह चुनाव दौरान सिपाही इस्तेमाल सिपाही दोतीन फर्जी मुकदमे लिखवा लेने बात क्रम एसआई तैनाती लाख रुपये तय बात कथित पैरवीकार कह कह दुबे उक्त एसआई काम कराएगा बातचीत बड़ागांव तैनात एसआई पांच लाख रुपये तैनाती जिक्र एसएसपी अमित पाठक बाहरी लोगों बातचीत बारे वक्तव्य देने इनकार पावरफुल दुबेबातचीत उक्त सिपाही नाम कथित रूप पैरवी दूसरा व्यक्ति कह केवल दुबे थाना दिलवा जाए काम दूबे ब्रह्मा लेख दुबे थाना दिला पाने क्षोभबातचीत दूसरा व्यक्ति डीएम नाम कह डीएम जरिये सिफारिश दूबे तैनाती केवल अगली लिस्ट बात कथित रूप पैरवी कह सूची जारी बार एसएसपी बात लेगा,2021-01-16
केवड़िया के लिए महामना एक्सप्रेस को ही विस्तार,वाराणसी काशी केवड़िया बीच चलने वाली नई ट्रेन महामना एक्सप्रेस ट्रेन वर्तमान वडोदरा महामना एक्सप्रेस नाम नंबर चलाई केवल ट्रेन एलएचबी कोच लैस केवड़िया विस्तार सप्ताह दिन चलाई केवड़िया चलने वाली महामना एक्सप्रेस वर्तमान वडोदरा चलने समय वाराणसी जंक्शन छूटेगी केवल वडोदरा समय विस्तार रहेगा प्रधानमंत्री नरेंद्र मोदी जनवरी वर्चुअल उद्घाटन उद्घाटन समारोह तैयारियों शुक्रवार लखनऊ मंडल डीआरएम संजय त्रिपाठी वाराणसी सुबह बजे छूटेगी लोकार्पित ट्रेनरविवार ट्रेन नंबर गाड़ी लोकार्पित वाराणसी कैंट सुबह बजे प्लेटफॉर्म नंबर छूटेगी अगले दिन ट्रेन केवड़िया पहुंचेगी नई ट्रेन दभोई स्टेशन पारकर केवड़िया किमी दूरी पौने घंटे पूरीट्रेन काशी केवड़िया बीच किमी दूरी तय करेगी दूरी किमी प्रति घंटे औसत चाल घंटे ट्रेन लेगी,2021-01-16
"प्राइमरी के अनुभवी शिक्षक बने छात्र
",वाराणसी वरिष्ठ संवाददाताबेसिक शिक्षा परिषषद स्कूलों नए सत्र एनसीईआरटी पाठ्यक्रम लागू तैयारी तेज पाठ्यक्रम अनुसार किताबें लागू शिक्षकों प्रशिक्षण शुक्रवार ताकि पढ़ाने बच्चों समझने दिक्कत खास शासन गाइड लाइन मुताबिक कक्षा पढ़ाने विद्यालय अनुभवी योग्य शिक्षक प्रशिक्षित ट्रेनिंग मार्च चलेगी ग्रुप प्रशिक्षणब्लाक स्तर शिक्षकों मास्टर ट्रेनर प्रशिक्षित वाराणसी स्थित राज्य हिन्दी संस्थान हिन्दी किताब ‘रिमझिम पढ़ाने मास्टर ट्रेनर तैयार ब्लाक स्तर फेस टु फेस मोड शिक्षक प्रशिक्षित होंगे शिक्षकों प्रशिक्षण माड्यूल एनसीईआरटी पुस्तकों सेट निगरानीट्रेनिंग निगरानी जिम्मेदारी डायट प्राचार्य बीएसए बीईओ डायट प्राचार्य नामित संकाय सदस्य प्रशिक्षण वीडियो रिकार्डिंग विभिन्न सत्रों चलने वाली ट्रेनिंग शिक्षकों उपस्थिति अनिवार्य प्रशिक्षण अलग माड्यूलराज्य हिन्दी संस्थान निदेशक ऋचा जोशी प्रदेशभर चयनित शिक्षकों मास्टर ट्रेनर रूप ऑनलाइन प्रशिक्षण एमएस टीम एप अलावा संस्थान बाह्य विशेषज्ञों मदद ली प्रशिक्षण अलग माड्यूल तैयार किताब आवरण पृष्ठ पाठों चित्रों अभ्यासों बारे मास्टर ट्रेनरों प्रशिक्षित,2021-01-16
शायर मेयार सनेही फानी जहां से हुए रुखसत,वाराणसी प्रमुख संवाददाता‘जिंदगी मौत इनमें मंजिल दोनों रास्ते आनेजाने नायाब शेरों जरएि बेबाकी बात रखने बनारस मशहूर शायर मेयार सनेही फानी शुक्रवार दोपहर रुखसत वर्ष उम्र हरहुआ स्थित निजी अस्पताल अंतिम सांस ली हरहुआ बेटी रहते मेयार सनेही दिनों बीमार शुक्रवार सुबह तबीयत अधिक खराब बेटी दामाद अस्पताल दोपहर तीन बजे हृदय गति रुकने निधन जनवरी सुपुर्दे खाक निधन शोक व्यक्त रंगकर्मी शायर सलीम राजा बनारस फकीर मिजाज शायर मेयार साहब बेहद सादगी पसंद इंसान तमाम एतराज अंदाज़ जीते सेतु सांस्कृतिक केंद्र समन्वयक प्रतिमा सिन्हा वर्ष नागरी नाटक मंडली आलमी मुशायरे ‘जश्ने इशरत राहत इंदौरी शायर रहते ‘न आला अदना हिंदू मुस्लिममोहब्बत बस मोहब्बत मतलब शेरों बदौलत महफिल लूट ली शायर अतीक अंसारी जीवित रहते सही मूल्यांकन सका अदब दुनिया ग़ज़लें पढ़ेंगी याद करेंगी होंगे निधन सेतु सांस्कृतिक केंद्र शोक सभा,2021-01-16
शीतलहरी ने खूब कंपकपाया तापमान से कम,शीतलहर खूब कंपकपाया तापमान सामान्य कमवाराणसी वरिष्ठ संवाददाताशुक्रवार कड़ाके ठंड शीतलहरी लोगों परेशान मौसम विभाग अधिकृत रूप वाराणसी शीतलहर घोषणा मौसम विज्ञान अनुसार सामान्य पांच डिग्री सेल्सियस तापमान कम शीतलहरी स्थिति मान ली जाती वाराणसी समय ऐसी स्थिति अधिकतम तापमान न्यूनतम तापमान डिग्री सेल्सियस रिकॉर्ड अधिकतम तापमान सामान्य पांच न्यूनतम डिग्री सेल्सियस कम वातावरण नमी फीसदी उत्तरपश्चिम सर्द हवा गुरुवार तुलना तापमान थोड़ी वृद्धि उससे राहत मिली सुबह दस बजे कोहरा धूप तेजी सर्द हवा तीखी महसूस मौसम विभाग पूर्वानुमान अनुसार कम कम दिनों शीतलहरी स्थिति अधिकतम तापमान न्यूनतम डिग्री सेल्सियस आसपास रहेगा कोहरा छुटकारा मिलेगा मौसम वेबसाइट स्काईमेट अनुसार जनवरी कोहरा छाए आशंका प्रदेश जिलों पाला पड़ जनवरी दिन रात तापमान वृद्धि सकती जिससे कड़ाके सर्दी राहत सकती,2021-01-16
100 बड़े टूर ऑपरेटरों को घुमाएंगे नए स्थलों पर ,वाराणसी कार्यालय संवाददातागंगा नौका विहार घाट आरती सारनाथ बौद्ध स्थल लंबे समय बनारस प्रमुख पर्यटक स्थल देशीविदेशी पर्यटकों काशी नए पर्यटन स्थलों जोड़ने कवायद पर्यटन उद्यमियों देश बड़े टूर ऑपरेटरों बनारस नए पर्यटन स्थलों रूबरू योजना बनाई पर्यटन उद्यमी दिल्ली कोलकाता हैदराबाद मुंबई प्रिंसिपल एजेंटों शिवरात्रि काशी न्योता देंगे तीन दिनों विभिन्न स्थलों सैर कराएंगे प्रिंसिपल एजेंट देशविदेश पर्यटकों भारत टूर प्रोग्राम तय देश विभिन्न हिस्सों टूर पैकेज स्थलों शामिल कराते कार्ययोजना अनुसार पर्यटकों दिन टूर प्रोग्राम बढ़ाने योजना इससे पर्यटक तीन दिन पेकेज लेते तीन चार दिन पैकेज मुहैया कराना टूरिज्म वेलफेयर एसोसिएशन अध्यक्ष राहुल मेहता उपाध्यक्ष अभिषेक सिंह पर्यटन बढ़ावा देने यूपी टूरिज्म सहयोग नई कार्ययोजना बनाई इससे आने समय पर्यटक मुकाबले ज्यादा समय काशी ठहरेंगे जिसका सीधा लाभ पर्यटन उद्योग मिलेगा काशी विश्वनाथ कॉरिडोर क्रूज आकर्षणनये पर्यटन स्थलों क्रूज करीब घंटे भ्रमण शामिल राजघाट ललिता घाट क्रूज पर्यटकों जाकर काशी विश्वनाथ कॉरिडोर दिखाना शामिल अलावा दीनदयाल हस्तकला संकुल क्राफ्ट म्यूजियम शूलटंकेश्वर मंदिर कैथी महादेव मंदिर भ्रमण शामिल मानमहल वेधशाला नए पर्यटन स्थलों खास जगह अलावा सारनाथ लाइट एंड साउंड शो शामिल,2021-01-16
मुर्गों को दे रहे बीकॉम्लेक्स और मल्टी विटामिन,मुर्गों इम्यूनिटी बढ़ाने मल्टी विटामिनवाराणसी कार्यालय संवाददाताबर्ड फ्लू आशंका पोल्ट्री फार्म संचालकों कारोबार लगातार कम पोल्ट्री फार्म संचालक मुर्गों संक्रमण बचाने इम्यूनिटी बढ़ाने दवा मनुष्यों बीकॉम्लेक्स मल्टीविटामिन फर्क बस इतना मनुष्य टैबलेट जाती मुर्गों लिक्विड फार्म जिले पोल्ट्री फार्म प्रति दिन करोड़ो कारोबार कोरोना काल दौरान संचालकों काफी नुकसान बर्ड फ्लू संदेह बार कारोबार संकट खड़ा पोल्ट्री फार्म संचालक रोज पोल्ट्री फार्म सेनेटाइजेशन चूने छिड़काव पूर्वांचल पोल्ट्री फार्म समिति अध्यक्ष अजय खरे हम मुर्गे इम्यूनिटी बढ़ाने दवा जिससे संक्रमण बचाया सके मुर्गों मल्टीविटामिन बीकॉम्प्लेक्स लीवर टॉनिक कैल्सियम सहित दवाएं जाती दवा पानी घोल जाती हम लोगों कोशिश बाहरी पक्षी इनके संपर्क आएं पोल्ट्री फार्म मुर्गों दाना हाथ सेनेटाइज करके जाता,2021-01-16
संक्षेप,बिजली पोल गिरे लाइनमैन हालत स्थिरपिंडरा गजोखर कर्मचारियों अधिकारियों लापरवाही चलते गुरुवार पोल लाइनमैन गिर गुरुवार शटडाउन संविदाकर्मी लाइनमैन हरिशंकर प्रजापति हीरामनपुर बाजार पोल चढ़कर बिजली ठीक बीच करंट आने पोल गिर पड़ा लाइनमैन पोल गिरने हड़कंप मच ग्रामीणों निजी अस्पताल भर्ती हालत स्थिर एसडीओ राहुल सिंह मामले जांच,2021-01-16
34 हजार नए वोटर जुड़े,वाराणसी कार्यालय संवाददाताविधानसभा निर्वाचन क्षेत्र मतदाता सूची शुक्रवार अंतिम प्रकाशन अनुसार हजार नए मतदाता जुड़े उनमें हजार मतदाता वर्ष बीच पुनरीक्षण दौरान हजार मतदाताओं नाम काटे इससे आठों विधानसभा निर्वाचन क्षेत्रों मतदाताओं संख्या लाख हजार थर्ड जेंडर छह मतदाता बार जुड़े इनमें दोदो कैंट विधानसभा तीन पिंडरा दक्षिणी विधानसभा क्षेत्र ज्यादा मतदाता कैंट विधानसभा बढ़े कम संख्या वाराणसी उत्तरी बढ़े नए वोटरों पुरुष मतदाता हजार महिला मतादाताओं संख्या हजार विधानसभा क्षेत्रों मतदान स्थलों संख्या सर्विस मतदाताओं संख्या महिलाओं संख्या विधानसभा मतदाता बढ़े मतदातापिंडरा अजगरा शिवपुर रोहनिया उत्तरी दक्षिणी कैंट सेवापुरी,2021-01-16
वेदव्यास मंदिर के निकट कुंड मिलीं 902 बुलेट,वाराणसी हिन्दुस्तान संवादकाशीपुरा कर्णघंटा मुहल्ले वेदव्यास मंदिर पास कुंड शुक्रवार डिब्बे बोरे इस्तेमाल बुलेट मिली खुदाई दौरान बुलेट मजदूर सन्न पुजारी विश्वनाथ सूचना सूचना सीओ दशाश्वमेध अवधेश पांडेय चौक पुलिस डिब्बे बंद बुलेट निकलवाया सीओ पुरानी गोली चलने बची बुलेट इससे खतरा मंदिर कुंड नवीनीकरण मजदूर खुदाई दौरान फावड़ा डिब्बे पड़ा उसमें गोली निकलने बात पुजारी पास थोड़ी खुदाई बोरी दिखी बाहर निकाला उसमें ढेर सारी बुलेट भरी पुलिस पहुंचने बुलेट निकलवाकर थाने जाया सीओ वजन किलोग्राम संख्या जांच लखनऊ भेजा लांग रेंज गन बुलेट लगती फायरिंग जुटाकर रखे होंगे बुलेटपहले फायरिंग बची बुलेट जुटाकर रखते बाजार बेजा जाता लाइसेंस जारी अनुमान पूर्व फायरिंग जुटायी गयी बुलेट इधर आया कुंड गिर चली गोली अगला हिस्सा यानी लक्ष्य लगने हिस्सा मिलता वही,2021-01-15
